-,,,,,,,,,,,,,,,,,,,,,-
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,G,,,,,G,,,,,,G,,,G,,,,,
,,,,House 234,,,,,,,,,,,,House 87,,,,,
,,,,,,,,,G,,,,,,,,,,,,
,,,,,G,,House 97,,,,,,,,,BPS,,,,,
,,,,,,,,,,,,G,,,,,,,,,
,,,,,,,,,House 43,,,,,,,,,,,,
,,House 11,,G,,,,,,,,,,,G,House 124,,,,,
,,,BES,House 64,,,,,,,,,,,,,BPS,,,,
,,,,,,,,G ,,,,,,,,,,,,,
,,,,,,,,,,,,G,,,,,,,,,
,,BES,,G,,,,House 77,,,,,,,House 111,G,,,,,
,,,G,,,,,G,,G,,,,,,,,,,,
,G,,,,G,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,G,,,,G,,,,
,,,,,,,,,,,,,,,,,,,,,
-,,,,,,,,,,,,,,,,,,,,,-
