-,,,,,,,,,,,,,,,,,,,,,-
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,G,T,,,,,,,,,,
,,,,,,,,TN,TN,TN,TN,TN,TN,TN,TN,TN,,G 45,,,
,,,G 324,,,,TN,TN,,,,,,,,,TN,,,,
,,,,,G,TN,,,TN,,,,,,TN,DT,TN,,,,
,,,,B 345,,,TN,,,TN,,,,TN,,,TN,,,,
,,,,,,,,TN,T,,TN,,TN,,,G 5,TN,DT 44,,,
,,,,,,,T,,TN,,,TN,,DT 23,,,TN,,,,
,,B 112,G 23,,TN,TN,TN,TN,TNP,CT,CT,TNE,TN,TN,TN,TN,,,G 32,,
,,,,TN,,,,T,TN,,,TN,,,,,,,,,
,,,,TN,T,G ,,TN,,TN,,,TN,,G 43,,DT 23,,,,
,,,,TN,,,TN,,,,TN,,,TN,DT 46,,,,,,
,,,,TN,B 22,TN,,,T,,,TN,,,TN,,,,,,
,,,G 32,TN,,T,,,,,,,TN,TN,,,,G 321,,,
,,,,,TN,TN,TN,TN,TN,TN,TN,TN,TN,,,,,,,,
,,,,,,,,,,,DT 12,G,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
-,,,,,,,,,,,,,,,,,,,,,-
